STATION,YEAR,MONTH,V1,F1,V2,F2,V3,F3,V4,F4,V5,F5,V6,F6,V7,F7,V8,F8,V9,F9,V10,F10,V11,F11,V12,F12,V13,F13,V14,F14,V15,F15,V16,F16,V17,F17,V18,F18,V19,F19,V20,F20,V21,F21,V22,F22,V23,F23,V24,F24,V25,F25,V26,F26,V27,F27,V28,F28,V29,F29,V30,F30,V31,F31
270165,1956,3,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,4.5,,0,,0,,1,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,9.7,,0,,0,,0,
270165,1956,4,0.3,,0,,0,,0,,0,,8.7,,3.3,,0,,0,,0,,0,,0,,0,,0,,0,,2.2,,50.1,,0.4,,0,,0,,15.1,,0.3,,0,,0,,0,,0,,1.6,,0,,0,,16.2,,-999.9,M
270165,1956,5,0,,0,,0,,0,,0,,0,,0.5,,0,,0,,29.9,,0,,0,,0,,0,,2.5,,1.6,,0,,0,,0,,0,,9.6,,0.4,,0,,2,,0,,0,,5.3,,0,,1.8,,14.1,,8.3,
270165,1956,6,0,,0,,0,,14.3,,6.6,,5,,0,,1.4,,0,,0,,16.4,,0,,0,,0,,0,,14.2,,1.4,,0.5,,0,,10.7,,5.8,,15.3,,2.3,,0,,1.2,,18.7,,0,,0,,4,,0,,-999.9,M
270165,1956,7,0,,6.6,,0,,0,,0,,0,,5.3,,3.2,,44.7,,0,,0,,1.2,,30.6,,0,,0.1,,2.3,,4.5,,11.7,,1.5,,0,,55,,0.6,,8.6,,3.7,,1.4,,0,,0,,2.2,,1.2,,31,,4.3,
270165,1956,8,2.4,,17.4,,0,,16.3,,0,,13.2,,1,,1.6,,3.1,,15.2,,0,,0,,0,,40.9,,8.1,,0.1,,0,,60.9,,0,,0,,57.4,,4.1,,2.4,,0.7,,10.8,,6.2,,5.1,,13.5,,13.3,,14.2,,0.3,
270165,1956,9,0,,0,,15.3,,0,,38.5,,1.5,,15.1,,0,,27.5,,9,,0,,3.7,,12.2,,3,,11.1,,3.2,,3.9,,0,,73.6,,5.2,,7.1,,2,,0.3,,0,,1.1,,1.5,,1.3,,0,,0,,1.2,,-999.9,M
270165,1956,10,0,,11.5,,25.2,,8.5,,19.6,,16.3,,0,,0.3,,2.6,,2.8,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0.2,
270165,1956,11,0,,0,,0,,0,,0,,0,,23.1,,0.2,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,-999.9,M
270165,1956,12,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
270165,1957,1,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
270165,1957,2,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,-999.9,M,-999.9,M,-999.9,M
270165,1957,3,0,,9,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0.7,,0,,0,
270165,1957,4,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0.4,,0,,0,,0,,0,,0,,3.2,,3.5,,3.8,,2,,0,,0,,0,,0,,0,,0,,0,,0,,18.8,,-999.9,M
270165,1957,5,0.2,,0,,0,,0,,4.2,,0,,28.1,,0.7,,0,,0,,0,,1.2,,0,,0,,2.7,,32,,0,,0,,0.5,,0,,22.4,,6.6,,0,,44.7,,0,,0,,1.2,,0,,0,,3.8,,0,
270165,1957,6,0,,7.8,,0,,7.3,,0,,3,,1.7,,0,,0,,3.2,,9.1,,0,,42.1,,31.6,,0,,2.9,,19.8,,6.7,,23.7,,3.8,,11.1,,0,,0,,0,,0.1,,0,,0,,0,,1.4,,14.5,,-999.9,M
270165,1957,7,0,,96.2,,0.4,,0.2,,7.2,,46.7,,14.5,,1.9,,1.5,,28.2,,0,,0.3,,0,,7,,0.3,,15.1,,0,,0,,21.9,,0.2,,0.3,,18.1,,0,,13.2,,5,,16.3,,9.3,,0.3,,59.6,,0.5,,0,
270165,1957,8,7.1,,11.8,,0.2,,3.2,,11.6,,0,,11.1,,0,,13.1,,0,,9.6,,2.8,,0,,37.7,,5.3,,5.5,,0,,3.5,,6.5,,14.3,,20.2,,26.2,,7.4,,0.2,,15.3,,30.8,,6.2,,0.8,,14.1,,0.8,,0.9,
270165,1957,9,30.1,,6.4,,4.1,,24.5,,17.7,,4.8,,5.1,,2.5,,3.1,,0,,22,,7.2,,0.1,,0.2,,4.5,,0,,0,,1.2,,0.3,,9.5,,0.3,,0.3,,0,,53.4,,0.3,,5.3,,15.5,,0,,0,,15.2,,-999.9,M
270165,1957,10,3.3,,11.3,,0,,0,,6.3,,0,,0.4,,0,,0,,0,,0,,0,,3.1,,1.2,,0,,20.1,,0,,11.7,,0,,0,,1.3,,0.5,,0,,0,,0,,0,,0.3,,0,,0,,0,,3.7,
270165,1957,11,0,,1.9,,0.5,,0,,0,,0,,0,,0.8,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,-999.9,M
270165,1957,12,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
270165,1958,1,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
270165,1958,2,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,-999.9,M,-999.9,M,-999.9,M
270165,1958,3,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
270165,1958,4,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,25.4,,17.3,,0.4,,0,,0,,0,,6.3,,0,,0,,32.2,,0,,0,,0,,0,,0,,0,,3.4,,0,,-999.9,M
270165,1958,5,0,,0,,0,,0,,0,,0,,0,,11,,2.2,,12,,0,,2.8,,0,,5,,0,,0.6,,0,,0,,0,,33.5,,0,,0,,18.4,,0,,0.4,,10.3,,0,,0,,0,,0,,0.8,
270165,1958,6,0,,0,,2.6,,1.4,,0,,6.8,,0,,0.9,,24.9,,3,,12.6,,0,,30,,1.6,,0,,0,,0,,5.7,,2.5,,0,,0,,12,,0,,5.7,,0,,0,,0,,6,,39.2,,0,,-999.9,M
270165,1958,7,0,,0,,0.2,,8.8,,0,,0,,0,,51.3,,14.1,,0.4,,0,,0.7,,6.6,,10.1,,0,,15.5,,0,,0,,14.6,,23,,0,,0,,0,,4.7,,4.5,,4.5,,0,,19.2,,17.4,,0.3,,1.1,
270165,1958,8,13.3,,0.6,,35.7,,8.7,,44,,4.5,,0,,0,,0,,4.4,,15,,0,,4.2,,0,,6.5,,29.5,,6.7,,1.6,,126,,75,,1.1,,0,,36.8,,0,,27.6,,16,,0.6,,6,,12.7,,0,,19.7,
270165,1958,9,34.4,,0.8,,28.3,,27.8,,0,,20,,4.4,,5.7,,0.2,,0,,51.8,,2.6,,12.6,,0,,0,,0,,20.7,,0,,23,,0.2,,0,,24.3,,2.3,,2.2,,0.8,,0,,0,,17.8,,0.5,,20.3,,-999.9,M
270165,1958,10,0,,0,,6.3,,10.1,,25.1,,6,,0,,29.6,,0,,0,,0,,0,,0,,0.5,,4,,0,,0,,0,,0,,0,,4.1,,8.5,,0,,0,,0,,0,,0,,0,,0,,0,,5.9,
270165,1958,11,0,,1.8,,0,,10.5,,0.4,,0,,0,,0,,0,,2,,0,,0,,0,,0,,0,,0.1,,0,,0,,0,,0,,0,,0,,0,,0,,3.8,,0.3,,0,,0,,0,,0,,-999.9,M
270165,1958,12,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
